,Age,Gender,Country,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence
230,25,Female,United States of America,0,I don't know,1,,26-100,Sometimes,1.0,I don't know,No,No,Yes,No,Somewhat difficult,Maybe,Maybe,No,No,No,No,No,No
231,27,Male,United States of America,0,Yes,1,,More than 1000,Never,0.0,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,Yes,Yes,No
232,26,Male,Germany,0,No,0,,500-1000,Sometimes,1.0,Yes,I am not sure,No,No,Yes,Very easy,No,No,No,No,Maybe,Yes,Yes,No
233,38,Female,United States of America,0,Yes,0,,500-1000,Always,1.0,Yes,Yes,I don't know,I don't know,Yes,Very easy,No,No,Yes,Yes,Maybe,Yes,Yes,No
234,49,Male,United States of America,0,Yes,1,,More than 1000,Sometimes,1.0,Yes,Yes,Yes,Yes,No,Very difficult,Yes,No,Maybe,No,No,No,No,No
235,30,Male,United States of America,0,Yes,0,,26-100,Sometimes,1.0,Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,Yes,Yes,No
236,34,male,France,1,I don't know,0,,,Sometimes,,,,,,,,,,,,Maybe,Yes,,
237,31,male,Russia,0,No,0,,100-500,Never,1.0,No,No,No,I don't know,I don't know,Very easy,Maybe,No,No,No,Yes,Maybe,I don't know,No
238,29,Male,United States of America,1,Yes,1,1-25%,,Sometimes,,,,,,,,,,,,No,Maybe,,
239,31,m,Germany,0,No,0,,100-500,Sometimes,1.0,No,No,No,No,I don't know,Very easy,Maybe,No,Maybe,Maybe,Yes,Maybe,I don't know,No
240,34,male,Germany,0,I don't know,1,,100-500,Never,1.0,Not eligible for coverage / N/A,I am not sure,Yes,No,I don't know,Neither easy nor difficult,Yes,Maybe,No,No,No,Maybe,Yes,No
241,28,Male,United States of America,0,No,1,,6-25,Sometimes,1.0,I don't know,No,No,I don't know,I don't know,Somewhat easy,Maybe,No,Yes,Maybe,Maybe,Maybe,No,No
242,35,Female ,United Kingdom,1,Yes,1,1-25%,,Always,,,,,,,,,,,,No,Yes,,
243,27,Male ,Germany,0,I don't know,0,,500-1000,Always,1.0,I don't know,I am not sure,No,I don't know,I don't know,Very easy,No,No,No,Maybe,No,No,I don't know,No
244,33,m,Germany,1,No,0,,,Sometimes,,,,,,,,,,,,Maybe,Maybe,,
245,37,Female,United States of America,0,I don't know,1,,6-25,Sometimes,1.0,I don't know,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,I don't know,No
246,45,Male,United Kingdom,0,No,1,,More than 1000,Sometimes,1.0,Not eligible for coverage / N/A,,Yes,Yes,Yes,Very easy,Yes,No,Maybe,Maybe,No,Maybe,Yes,No
247,31,woman,United States of America,0,Yes,1,,6-25,Always,1.0,No,,No,No,I don't know,Somewhat easy,No,No,Maybe,Yes,No,No,Yes,No
248,36,M,United States of America,0,No,0,,More than 1000,Never,0.0,No,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,Maybe,No,No,No,No,No,No
249,30,M,United States of America,0,Yes,1,,500-1000,Never,1.0,Yes,Yes,No,Yes,I don't know,I don't know,Maybe,No,Maybe,Maybe,Maybe,Yes,I don't know,No
250,33,female,United Arab Emirates,0,Yes,1,,More than 1000,Sometimes,1.0,Yes,Yes,Yes,Yes,Yes,Very difficult,Maybe,Maybe,No,Maybe,No,Maybe,No,No
251,45,female,Canada,0,I don't know,1,,500-1000,Always,1.0,Yes,I am not sure,No,Yes,I don't know,I don't know,Maybe,No,No,No,No,Yes,I don't know,Yes
252,30,Female,United States of America,0,Yes,1,,26-100,Sometimes,1.0,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,No,No,Maybe,Yes,No,No,Yes,No
253,30,male,United States of America,0,Yes,1,,26-100,Sometimes,1.0,Yes,Yes,Yes,No,Yes,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,No,Maybe,No,Yes
254,29,Male,United States of America,1,Yes,1,26-50%,,Always,,,,,,,,,,,,No,No,,
255,36,Male,Mexico,0,Yes,0,,1-5,Sometimes,0.0,No,Yes,Yes,No,No,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,No,No
256,28,Male,United States of America,0,Yes,1,,26-100,Never,1.0,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Maybe,Maybe,Maybe,Maybe,Yes,Yes
257,36,Male,United States of America,0,No,1,,26-100,Sometimes,1.0,Yes,I am not sure,I don't know,I don't know,I don't know,Somewhat easy,No,No,Maybe,Yes,No,No,Yes,No
258,37,female,United States of America,0,Yes,1,,500-1000,Sometimes,1.0,Yes,Yes,No,I don't know,I don't know,Neither easy nor difficult,Maybe,No,Maybe,No,No,Yes,I don't know,No
259,29,Male,United States of America,0,Yes,1,,26-100,Sometimes,1.0,Yes,I am not sure,No,Yes,Yes,Very easy,No,No,Yes,Yes,No,No,Yes,No
260,25,Male,United States of America,0,Yes,1,,26-100,Sometimes,1.0,Yes,Yes,I don't know,Yes,Yes,Very easy,No,No,Yes,Yes,No,No,Yes,No
261,34,f,United States of America,0,No,0,,26-100,Sometimes,1.0,Yes,No,Yes,Yes,Yes,Neither easy nor difficult,No,No,Maybe,Yes,No,No,No,No
262,37,M,Canada,0,No,1,,More than 1000,Sometimes,0.0,Yes,Yes,Yes,Yes,Yes,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,No,Maybe,Yes,Yes
263,40,Female,United States of America,0,Yes,1,,More than 1000,Sometimes,1.0,Yes,Yes,No,Yes,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Yes,No,No,I don't know,No
264,32,Male,United States of America,0,No,0,,100-500,Always,1.0,Yes,Yes,Yes,Yes,I don't know,Somewhat difficult,Yes,Maybe,Maybe,No,No,No,No,No
265,38,Male,United Kingdom,0,No,0,,26-100,Never,1.0,I don't know,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Maybe,No,Maybe,I don't know,No
266,31,Female,United States of America,0,Yes,1,,26-100,Sometimes,1.0,Yes,I am not sure,Yes,I don't know,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,No,Maybe,No,No
267,28,female,United States of America,0,Yes,1,,26-100,Sometimes,1.0,Yes,Yes,I don't know,Yes,Yes,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
268,27,female,United Kingdom,0,Yes,1,,100-500,Sometimes,1.0,No,No,No,No,I don't know,Very difficult,Yes,Maybe,No,No,No,Yes,No,Yes
269,28,female,United States of America,0,No,1,,26-100,Sometimes,1.0,Yes,Yes,No,Yes,Yes,Somewhat easy,Maybe,No,Maybe,Maybe,No,Maybe,I don't know,No
270,26,Male,Germany,0,Yes,1,,6-25,Always,1.0,I don't know,Yes,No,No,I don't know,Somewhat easy,No,No,No,Maybe,Maybe,No,Yes,Yes
271,40,Male,United States of America,0,Yes,1,,26-100,Sometimes,1.0,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,Yes,Yes,No
272,42,Male,United States of America,0,No,1,,More than 1000,Sometimes,1.0,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
273,36,Male,United States of America,0,I don't know,0,,26-100,Never,1.0,Yes,I am not sure,I don't know,Yes,I don't know,Very easy,No,No,Maybe,Maybe,No,No,Yes,No
274,44,male,United Kingdom,1,Yes,0,,,Never,,,,,,,,,,,,No,Maybe,,
275,24,Male,United States of America,0,I don't know,1,,500-1000,Never,1.0,Yes,Yes,No,No,I don't know,Very difficult,Maybe,Maybe,Maybe,Maybe,No,Yes,No,No
276,44,Male,United States of America,0,I don't know,1,,100-500,Never,0.0,I don't know,I am not sure,No,Yes,I don't know,Very difficult,Yes,Yes,No,Maybe,Maybe,Yes,No,Yes
277,31,Male,United States of America,0,No,1,,More than 1000,Always,1.0,Yes,I am not sure,I don't know,I don't know,I don't know,Neither easy nor difficult,No,No,Yes,No,Maybe,Maybe,I don't know,No
278,49,m,United States of America,1,Yes,1,26-50%,,Sometimes,,,,,,,,,,,,No,Yes,,
279,27,female/woman,United States of America,0,Yes,0,,26-100,Sometimes,1.0,Yes,No,Yes,I don't know,Yes,Very difficult,Maybe,Maybe,Maybe,No,Maybe,Maybe,I don't know,No
280,27,Cis male,United States of America,0,Yes,1,,More than 1000,Always,1.0,Yes,I am not sure,I don't know,Yes,I don't know,Somewhat easy,No,No,No,Maybe,No,Maybe,I don't know,No
281,28,Male,United States of America,0,No,1,,100-500,Sometimes,1.0,Yes,Yes,No,No,I don't know,I don't know,No,No,Maybe,Maybe,No,No,I don't know,No
282,20,Female,United States of America,0,Yes,1,,6-25,Never,1.0,Yes,Yes,No,No,I don't know,Very difficult,Yes,Maybe,No,No,No,No,No,No
283,41,Male ,Germany,1,Yes,0,,,Always,,,,,,,,,,,,Maybe,Maybe,,
284,38,Male,Australia,0,I don't know,1,,100-500,Sometimes,0.0,No,,No,Yes,I don't know,Neither easy nor difficult,Yes,No,Maybe,Maybe,No,No,I don't know,No
285,29,male,United States of America,0,Yes,0,,100-500,Never,1.0,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Yes,Maybe,No,No,No,No,I don't know,No
286,44,f,United States of America,0,Yes,1,,100-500,Always,1.0,Yes,No,No,No,I don't know,Very easy,Maybe,No,Maybe,Maybe,No,Yes,No,Yes
287,31,Male.,United States of America,0,I don't know,0,,500-1000,Sometimes,1.0,I don't know,I am not sure,No,Yes,I don't know,Neither easy nor difficult,No,No,No,Yes,Yes,Yes,Yes,No
288,54,m,United States of America,0,Yes,1,,6-25,Sometimes,1.0,No,No,No,No,No,Somewhat difficult,Yes,Maybe,No,No,No,No,No,No
289,33,m,Germany,0,Yes,0,,500-1000,Sometimes,1.0,I don't know,No,No,No,I don't know,Somewhat easy,No,No,No,Maybe,Maybe,Maybe,I don't know,No
290,29,male,Netherlands,0,No,0,,6-25,Never,1.0,No,No,No,No,No,I don't know,Maybe,Maybe,No,No,Maybe,Maybe,No,Yes
291,26,Androgynous,United Kingdom,0,I don't know,1,,26-100,Sometimes,1.0,I don't know,I am not sure,No,I don't know,I don't know,I don't know,No,No,Maybe,Maybe,No,Yes,I don't know,No
292,26,male,United Kingdom,0,Yes,0,,26-100,Never,1.0,I don't know,No,Yes,I don't know,I don't know,Somewhat easy,No,No,Yes,Yes,No,Maybe,Yes,No
293,34,Male,United Kingdom,1,I don't know,1,51-75%,,Sometimes,,,,,,,,,,,,No,No,,
294,38,Female,United States of America,0,Yes,1,,100-500,Sometimes,1.0,I don't know,No,No,No,I don't know,I don't know,Yes,Yes,No,No,No,No,I don't know,No
295,30,Male,United Kingdom,0,Yes,1,,100-500,Sometimes,1.0,No,No,No,No,I don't know,Very easy,No,No,Maybe,Maybe,No,Maybe,I don't know,No
296,34,Male,United Kingdom,1,Yes,1,26-50%,,Sometimes,,,,,,,,,,,,No,Maybe,,
297,47,F,Australia,0,Yes,1,,More than 1000,Sometimes,1.0,Yes,I am not sure,No,No,Yes,Very easy,No,No,Maybe,Maybe,Maybe,Maybe,Yes,No
298,33,Female,Switzerland,0,Yes,1,,100-500,Sometimes,0.0,Yes,I am not sure,Yes,Yes,I don't know,Very easy,No,No,Yes,Yes,Yes,Yes,Yes,No
299,22,Male,United Kingdom,0,No,0,,More than 1000,Sometimes,0.0,I don't know,,No,No,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,No,No,I don't know,No
300,28,"male 9:1 female, roughly",United Kingdom,0,I don't know,1,,6-25,Never,1.0,Not eligible for coverage / N/A,,No,No,No,Somewhat difficult,No,No,No,Yes,Maybe,Maybe,I don't know,No
301,31,m,United Kingdom,0,Yes,1,,500-1000,Always,1.0,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
302,24,,United Kingdom,0,Yes,1,,More than 1000,Sometimes,0.0,Not eligible for coverage / N/A,,No,No,I don't know,Somewhat easy,Maybe,No,Yes,Yes,Maybe,Maybe,No,No
303,56,m,Australia,0,No,0,,1-5,Sometimes,0.0,No,I am not sure,No,No,I don't know,Very difficult,Maybe,Maybe,Maybe,Maybe,Maybe,Yes,No,Yes
304,57,F,Australia,1,Yes,1,51-75%,,Always,,,,,,,,,,,,No,Maybe,,
305,39,M,United States of America,0,No,0,,100-500,Always,1.0,I don't know,I am not sure,No,I don't know,Yes,I don't know,Maybe,No,Maybe,Maybe,Maybe,Maybe,I don't know,No
306,21,Male,United Kingdom,0,Yes,1,,1-5,Never,1.0,No,No,I don't know,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,Maybe,Maybe,Yes,No
307,31,female,Russia,0,No,0,,500-1000,Sometimes,1.0,I don't know,No,No,I don't know,I don't know,Very easy,No,No,Maybe,Maybe,No,No,Yes,No
308,63,Male,United States of America,1,No,1,51-75%,,Always,,,,,,,,,,,,No,Maybe,,
309,46,male,Australia,1,Yes,1,51-75%,,Always,,,,,,,,,,,,Maybe,Yes,,
310,32,Female,United Kingdom,0,Yes,1,,6-25,Never,1.0,I don't know,No,No,Yes,I don't know,Neither easy nor difficult,Maybe,No,No,Maybe,No,No,Yes,No
311,35,m,United Kingdom,1,Yes,1,1-25%,,Sometimes,,,,,,,,,,,,Maybe,Maybe,,
312,34,Male,United Kingdom,0,No,0,,100-500,Sometimes,1.0,Yes,I am not sure,Yes,No,I don't know,Very easy,No,No,Maybe,Maybe,No,No,Yes,No
313,35,male,United States of America,0,Yes,1,,6-25,Always,1.0,Not eligible for coverage / N/A,,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,No,Maybe,Yes,No
314,31,Male,Norway,0,No,0,,26-100,Sometimes,1.0,No,I am not sure,Yes,No,Yes,Very easy,No,No,Maybe,Yes,No,Maybe,Yes,No
315,35,F,United States of America,1,Yes,1,1-25%,,Always,,,,,,,,,,,,No,Yes,,
316,36,Male,United States of America,0,No,0,,26-100,Sometimes,0.0,I don't know,No,No,No,I don't know,Somewhat easy,No,No,Yes,Yes,Maybe,Yes,Yes,No
317,50,Male,United States of America,0,Yes,1,,26-100,Sometimes,1.0,Yes,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,No,Maybe,Yes,No
318,31,Male,United States of America,0,Yes,1,,6-25,Sometimes,1.0,I don't know,I am not sure,No,No,Yes,Very easy,No,No,Maybe,Yes,No,No,I don't know,No
319,47,male,United States of America,0,Yes,1,,100-500,Never,1.0,Yes,Yes,No,No,I don't know,I don't know,Maybe,Maybe,Yes,Maybe,No,No,I don't know,No
320,32,Female,Canada,0,No,1,,6-25,Never,1.0,I don't know,I am not sure,No,I don't know,I don't know,Very difficult,Maybe,Maybe,Maybe,No,No,No,I don't know,Yes
321,23,Female,Canada,0,Yes,1,,26-100,Never,1.0,Yes,Yes,No,No,Yes,Somewhat easy,No,No,Maybe,Yes,Maybe,Maybe,Yes,No
322,43,Female,Canada,0,Yes,1,,6-25,Sometimes,1.0,Yes,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,No,Yes,Yes,No,Maybe,Yes,No
323,26,Female,Canada,0,Yes,0,,6-25,Sometimes,1.0,Yes,Yes,No,No,I don't know,Neither easy nor difficult,No,No,Yes,Yes,Maybe,Maybe,Yes,No
324,26,female,Canada,0,Yes,0,,26-100,Never,1.0,I don't know,I am not sure,No,I don't know,I don't know,I don't know,No,No,Maybe,Maybe,No,Yes,I don't know,No
325,55,Female,Canada,0,No,0,,6-25,Sometimes,1.0,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Maybe,Yes,Maybe,Maybe,Yes,No
326,27,Male,Canada,0,No,1,,6-25,Never,1.0,Yes,No,Yes,No,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,No,No,Yes,No
327,34,Male,Argentina,0,Yes,1,,100-500,Always,1.0,Not eligible for coverage / N/A,No,No,I don't know,I don't know,Somewhat difficult,Maybe,No,No,No,No,Yes,I don't know,No
328,25,Male,India,0,Yes,0,,26-100,Never,1.0,No,,No,No,I don't know,Somewhat difficult,Yes,Maybe,No,No,Maybe,Yes,I don't know,No
329,35,male,United States of America,0,No,0,,26-100,Sometimes,0.0,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Yes,No,Maybe,Yes,No,No,I don't know,No
330,37,Male,Netherlands,1,No,1,1-25%,,Sometimes,,,,,,,,,,,,Maybe,Maybe,,
331,38,Female,United States of America,0,I don't know,1,,26-100,Sometimes,1.0,Yes,I am not sure,No,Yes,I don't know,Very easy,No,No,Yes,Yes,No,Yes,Yes,No
332,29,male,Canada,0,I don't know,1,,26-100,Never,1.0,Yes,No,No,No,I don't know,Very difficult,Yes,Maybe,Maybe,Maybe,No,Maybe,I don't know,No
333,28,Male,United Kingdom,0,Yes,1,,500-1000,Always,1.0,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,Yes,Maybe,Maybe,Yes,Yes,No
334,29,Male,United States of America,0,Yes,1,,6-25,Always,1.0,Not eligible for coverage / N/A,,Yes,No,I don't know,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
335,40,male,United States of America,0,Yes,0,,More than 1000,Always,1.0,Yes,I am not sure,No,No,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,Yes,No,No
336,25,Female,United States of America,0,No,1,,26-100,Sometimes,1.0,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Maybe,Yes,Yes,No
337,29,Male,Sweden,1,No,0,26-50%,,Sometimes,,,,,,,,,,,,Maybe,Maybe,,
338,29,F,United States of America,0,Yes,0,,26-100,Sometimes,1.0,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
339,35,M,Netherlands,0,No,1,,1-5,Sometimes,1.0,Yes,Yes,No,Yes,I don't know,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
340,25,Male,United States of America,1,I don't know,0,,,Sometimes,,,,,,,,,,,,No,No,,
341,43,Male,United States of America,0,No,1,,26-100,Sometimes,1.0,No,Yes,No,No,I don't know,Somewhat difficult,No,No,Maybe,Maybe,Yes,Yes,I don't know,No
342,26,Male,Ireland,0,No,0,,6-25,Never,1.0,No,,No,No,I don't know,Very easy,No,No,Yes,Yes,No,Yes,Yes,No
343,31,male,Germany,0,No,1,,100-500,Never,1.0,I don't know,No,No,No,I don't know,Very easy,No,No,No,No,No,No,I don't know,No
344,31,female,United States of America,0,Yes,0,,100-500,Always,1.0,Yes,Yes,I don't know,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,Yes,Yes,No
345,45,F,United States of America,0,I don't know,1,,More than 1000,Always,0.0,I don't know,No,No,No,I don't know,Somewhat difficult,Maybe,No,No,Yes,No,Maybe,No,No
346,23,Male,Italy,0,I don't know,0,,More than 1000,Never,1.0,No,No,No,No,No,Somewhat easy,Maybe,No,No,No,Maybe,Maybe,I don't know,No
347,39,Male,United States of America,0,I don't know,0,,6-25,Never,1.0,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Maybe,Maybe,Maybe,I don't know,No
348,27,Female,United States of America,0,Yes,0,,26-100,Sometimes,1.0,Yes,I am not sure,No,No,I don't know,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
349,28,Male,United States of America,0,Yes,1,,100-500,Sometimes,1.0,Yes,I am not sure,No,No,I don't know,Very easy,Maybe,No,Yes,Yes,No,Maybe,I don't know,No
350,36,Male,United States of America,0,No,0,,500-1000,Always,1.0,I don't know,No,No,I don't know,I don't know,I don't know,Maybe,No,Maybe,Maybe,No,No,No,No
351,22,male,Germany,0,No,0,,100-500,Never,1.0,I don't know,No,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,No,No,Maybe,No,No
352,51,Male,United States of America,0,I don't know,1,,1-5,Never,1.0,Yes,I am not sure,No,I don't know,No,Neither easy nor difficult,No,No,Maybe,Yes,No,Maybe,I don't know,No
353,39,Male,Denmark,1,No,0,1-25%,,Sometimes,,,,,,,,,,,,Yes,Yes,,
354,36,Male,United States of America,1,Yes,1,1-25%,,Sometimes,,,,,,,,,,,,No,Maybe,,
355,28,male,United States of America,0,Yes,1,,More than 1000,Sometimes,0.0,Not eligible for coverage / N/A,I am not sure,No,No,I don't know,Somewhat difficult,No,No,Yes,Yes,No,No,I don't know,No
356,40,M,United States of America,0,No,0,,100-500,Always,1.0,I don't know,No,No,Yes,Yes,I don't know,Yes,Maybe,No,No,No,Maybe,I don't know,No
357,35,Female,United States of America,0,I don't know,1,,26-100,Sometimes,1.0,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,No,Maybe,Yes,No
358,38,Male,United States of America,0,Yes,1,,100-500,Never,1.0,Yes,Yes,No,No,I don't know,Somewhat difficult,Yes,No,No,No,No,Maybe,No,No
359,29,Male,United States of America,0,Yes,1,,100-500,Always,1.0,Yes,I am not sure,No,No,I don't know,I don't know,Yes,Maybe,No,Maybe,No,No,I don't know,No
360,43,M,Netherlands,1,No,0,,,Sometimes,,,,,,,,,,,,Maybe,Maybe,,
361,31,f,United States of America,0,Yes,1,,500-1000,Always,1.0,Yes,No,No,I don't know,I don't know,Somewhat easy,Maybe,Maybe,Yes,Yes,No,No,I don't know,No
362,45,male,United States of America,0,No,0,,100-500,Sometimes,1.0,No,No,No,No,I don't know,Somewhat difficult,Yes,No,Maybe,Maybe,No,No,No,No
363,26,Male,United States of America,0,Yes,0,,100-500,Sometimes,1.0,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,No,No,Maybe,Maybe,No,No,No,No
364,42,Male,United States of America,0,No,0,,100-500,Always,1.0,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,Yes,Yes,No
365,28,f,United States of America,0,No,0,,100-500,Always,1.0,Yes,I am not sure,Yes,Yes,Yes,Somewhat easy,No,No,Maybe,Yes,No,No,Yes,No
366,28,Male,United Kingdom,0,Yes,0,,6-25,Sometimes,1.0,Not eligible for coverage / N/A,,No,No,I don't know,I don't know,Maybe,No,Yes,Maybe,Maybe,Maybe,I don't know,No
367,39,female,United States of America,0,Yes,1,,100-500,Sometimes,1.0,Yes,No,Yes,Yes,I don't know,I don't know,Maybe,Yes,Yes,Maybe,Yes,Yes,Yes,No
368,34,Male (cis),United States of America,0,No,1,,6-25,Sometimes,1.0,Yes,I am not sure,No,No,Yes,Somewhat easy,Maybe,Maybe,Maybe,Maybe,No,No,Yes,No
369,28,Female,United States of America,0,Yes,1,,26-100,Always,1.0,I don't know,No,No,Yes,I don't know,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
370,35,Female,United States of America,0,No,0,,500-1000,Sometimes,1.0,Yes,Yes,I don't know,I don't know,Yes,Somewhat easy,Maybe,Maybe,Maybe,Yes,No,No,Yes,No
371,42,male,Canada,0,No,0,,6-25,Sometimes,1.0,I don't know,I am not sure,No,No,Yes,Neither easy nor difficult,No,No,Maybe,Yes,Yes,Yes,Yes,No
372,99,Other,United States of America,0,Yes,1,,6-25,Sometimes,1.0,Yes,No,No,I don't know,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Yes,Yes,No
373,29,Male,United Kingdom,1,No,1,,,Always,,,,,,,,,,,,Maybe,Maybe,,
374,34,Male ,Finland,1,I don't know,1,,,Sometimes,,,,,,,,,,,,No,Maybe,,
375,28,Male,Canada,0,Yes,0,,26-100,Always,1.0,Yes,I am not sure,No,I don't know,I don't know,I don't know,Maybe,No,Maybe,Maybe,No,Maybe,I don't know,No
376,22,F,Russia,0,No,0,,500-1000,Sometimes,1.0,I don't know,No,Yes,No,I don't know,Very easy,Maybe,No,No,No,No,No,Yes,No
377,28,female,United States of America,0,Yes,1,,26-100,Sometimes,1.0,Yes,Yes,No,Yes,Yes,Neither easy nor difficult,Yes,Maybe,Maybe,Maybe,No,Maybe,No,No
378,26,Female,United States of America,1,Yes,1,26-50%,,Always,,,,,,,,,,,,Yes,Maybe,,
379,21,Female ,Australia,0,Yes,1,,More than 1000,Never,0.0,Yes,I am not sure,Yes,Yes,Yes,I don't know,Maybe,Maybe,Maybe,Maybe,No,Maybe,I don't know,No
380,38,male,Netherlands,0,Yes,1,,26-100,Never,1.0,No,No,No,No,No,Somewhat easy,Yes,Maybe,Yes,Maybe,Yes,Yes,No,Yes
381,33,M,United States of America,0,Yes,1,,More than 1000,Sometimes,0.0,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,No,No,Maybe,Yes,No,Maybe,Yes,No
382,28,Female,United States of America,0,Yes,1,,100-500,Sometimes,1.0,Yes,I am not sure,Yes,Yes,Yes,Very easy,No,No,Maybe,Yes,No,No,I don't know,No
383,32,Male,United States of America,0,I don't know,1,,26-100,Sometimes,1.0,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Maybe,Maybe,No,No,Yes,No
384,24,Female,Australia,0,I don't know,1,,1-5,Sometimes,1.0,Not eligible for coverage / N/A,,No,No,I don't know,Somewhat difficult,Yes,Maybe,No,No,No,No,I don't know,No
385,35,male,United States of America,0,Yes,1,,500-1000,Always,1.0,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,Maybe,No,Maybe,No,No,Maybe,No,No
386,41,Male,Turkey,1,No,0,1-25%,,Sometimes,,,,,,,,,,,,Maybe,Maybe,,
387,38,F,United States of America,1,Yes,1,,,Always,,,,,,,,,,,,Maybe,Yes,,
388,24,Female,United States of America,0,Yes,1,,More than 1000,Sometimes,1.0,I don't know,I am not sure,No,I don't know,I don't know,Somewhat difficult,Yes,Yes,Maybe,No,No,No,No,No
389,30,Male,United States of America,0,Yes,1,,100-500,Sometimes,1.0,Yes,Yes,No,I don't know,I don't know,Very easy,No,No,Yes,Yes,No,Yes,I don't know,No
390,47,female,United States of America,0,No,0,,100-500,Sometimes,1.0,Yes,Yes,I don't know,Yes,Yes,I don't know,Yes,Yes,No,No,No,No,I don't know,No
391,26,female,United States of America,0,No,0,,More than 1000,Never,1.0,Yes,I am not sure,I don't know,Yes,Yes,Somewhat easy,Maybe,No,No,No,No,Yes,I don't know,No
392,32,Male,United States of America,0,I don't know,1,,100-500,Always,1.0,Yes,Yes,No,I don't know,I don't know,Somewhat easy,No,No,No,Yes,No,No,Yes,No
393,32,Male,United States of America,0,Yes,0,,100-500,Sometimes,1.0,I don't know,No,No,Yes,I don't know,Neither easy nor difficult,Maybe,No,No,Maybe,No,No,I don't know,Yes
394,37,male,United States of America,0,I don't know,1,,500-1000,Always,1.0,I don't know,No,I don't know,Yes,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,Yes,No
395,33,male,Netherlands,1,No,0,1-25%,,Sometimes,,,,,,,,,,,,Maybe,Maybe,,
396,28,f,United Kingdom,0,I don't know,0,,6-25,Sometimes,1.0,No,,No,No,I don't know,Somewhat easy,No,No,No,Maybe,No,No,Yes,No
397,22,man,Netherlands,0,No,1,,26-100,Never,1.0,I don't know,No,Yes,I don't know,Yes,Somewhat easy,Maybe,Maybe,Maybe,No,No,Yes,Yes,No
398,30,Male,United States of America,0,Yes,1,,500-1000,Sometimes,1.0,I don't know,I am not sure,Yes,Yes,I don't know,Somewhat easy,No,Maybe,Maybe,Maybe,No,Maybe,Yes,No
399,42,Female,United States of America,1,Yes,1,1-25%,,Always,,,,,,,,,,,,No,No,,
400,34,male,United States of America,0,I don't know,0,,100-500,Never,1.0,Yes,I am not sure,No,I don't know,Yes,Somewhat easy,Maybe,No,Maybe,Maybe,Maybe,Yes,I don't know,No
